Genes,DNP_mean,DP_mean,DNP_vs_DP,ttest_statistics,ttest_pvalues,ttest_fdr,ranksums_statistics,ranksums_pvalues,ranksums_fdr,DNP_percentage,DP_percentage
FETUB,16.540543352441496,16.287476166710654,1.015537532220497,2.6261314293096913,0.010498950104989501,0.042950250429502505,2.498424480248341,0.012474671913477224,0.04527098678278025,1.0,1.0
FGA,19.239241062191077,19.69860459192615,0.9766804025335201,-2.186866898575783,0.03899610038996101,0.10072856350728562,-3.1400963412957292,0.001688922824077765,0.015657552329856196,1.0,1.0
FGB,19.475600221881173,19.962520568047,0.9756082732886339,-1.507041801084894,0.19198080191980801,0.3176152972938,-3.727157831190148,0.0001936511992209839,0.006402021767081516,1.0,1.0
FGG,20.387222626171027,20.877658554190347,0.9765090550386032,-1.5208547457973471,0.1832816718328167,0.31241194062411937,-3.208359305236941,0.001334946071871806,0.01365285755323438,1.0,1.0
FN1,18.552319464943995,18.42131612085377,1.0071115083868478,1.0454813413537154,0.29117088291170884,0.43100953062588476,1.0649022374828994,0.28692017241198065,0.44290053131200047,1.0,1.0
Fibrinogen,20.24145557739976,20.89674139758798,0.9686417222800173,-3.5424710397016352,0.0014998500149985001,0.016628771905418154,-3.0158198604070137,0.002562854689375727,0.016475494431701102,0.9827586206896551,1.0
GC,19.10409290157538,19.232092312207683,0.9933444885478709,-2.137846908124,0.0362963703629637,0.09660798626019751,-2.2117200316952528,0.02698601551993228,0.07232714314239097,1.0,1.0
GGH,15.601540410357776,15.485506160598211,1.007493087313788,0.5958966887154777,0.5486451354864513,0.7012220126301977,0.3850762948565023,0.7001808903063721,0.8316227103566476,0.7931034482758621,0.6666666666666666
GPLD1,17.26524058701977,17.032568999981464,1.0136603930410355,2.0971224498186096,0.0352964703529647,0.09568320276406095,1.911362990353922,0.05595794933522996,0.1311514437544452,1.0,1.0
GPX3,17.94422730608508,18.17824264438536,0.9871266247855613,-2.4749663398302806,0.0164983501649835,0.05624437556244375,-2.416508923518887,0.01567014213221172,0.05285015231392595,1.0,1.0
GSN,17.74885805027036,17.55221419271676,1.0112033647376064,1.8685682793530654,0.06419358064193581,0.14738322086158734,0.7781977889298112,0.4364524201075456,0.6016038100554993,1.0,1.0
