Genes,1st DBT,Healthy control,pre DBT,kruskal_fdr,1st DBT_percentage,healthy_control_vs_pre_DBT_group,1st_DBT_vs_pre_DBT_group,label,HPA specific annotation
C8B,0.05096520473262782,0.26451745289767625,-0.33489649837258056,0.25815399916409326,1.0,0.5994139512702568,0.3858617031052084,HLH,Liver
C8G,0.4046856425775992,-0.219310885276477,-0.12864780022347116,0.18369008057783084,1.0,-0.09066308505300583,0.5333334428010703,LMH,Liver
C9,0.5905675885505651,-0.8282476045087491,0.36666321532722795,7.092385962531316e-05,1.0,-1.194910819835977,0.22390437322333717,LMH,Liver
CA1,-0.6289410371854832,0.9420157538569811,-0.41307007250004235,3.069047625919523e-05,1.0,1.3550858263570236,-0.21587096468544087,HML,
CCDC126,-0.05237785139712473,0.12424527489330775,-0.08872836945843005,0.8213542116034485,1.0,0.2129736443517378,0.03635051806130531,HLH,
CD14,0.3527409320545053,-0.10958883325816555,-0.20112212013151665,0.46391721397456154,1.0,0.09153328687335109,0.5538630521860219,HLH,
CD44,0.4058735592985099,-0.43528413473001154,0.12104934063782466,0.024775410744201594,0.95,-0.5563334753678362,0.2848242186606852,LMH,
CD5L,0.19868174698648333,-0.17941124584747034,0.015101589118618386,0.5825308479244029,1.0,-0.19451283496608873,0.18358015786786494,LMH,Blood and immune system
CDH5,0.29787099914104537,-0.3951963162623827,0.14236796778244465,0.06361017050543673,1.0,-0.5375642840448274,0.15550303135860072,LMH,
CEP250,-0.6910191417054069,0.013946359515096197,0.5828428992304864,0.0038444514539685915,0.95,-0.5688965397153902,-1.2738620409358932,LHL,
CFB,0.575406175036019,-0.5895749761073948,0.12007617844803406,0.0012495310817512869,1.0,-0.7096511545554289,0.4553299965879849,LMH,Liver
CFD,0.03616168462174631,-0.1769936763228428,0.15380829761873202,0.6337817537785028,0.95,-0.33080197394157485,-0.11764661299698571,LHL,
CFH,0.6655777770523051,-0.8051781991240049,0.27330551081495735,3.069047625919523e-05,1.0,-1.0784837099389621,0.3922722662373478,LMH,Liver
CFHR3,0.9716513851990378,-0.7989224345091208,-0.012944463788092043,4.952429867463028e-06,1.0,-0.7859779707210288,0.9845958489871298,LMH,Liver
CFI,0.4327596945431232,-0.22042462084479722,-0.15295468139030988,0.0799389683336411,1.0,-0.06746993945448734,0.5857143759334331,LMH,
CLEC3B,-0.600246215307964,0.8788626539325257,-0.4130808812827796,8.67829647750993e-06,1.0,1.2919435352153052,-0.18716533402518437,HML,
CLU,-0.21307737161838144,0.216484469923084,-0.04245817480850139,0.7845998684699547,1.0,0.2589426447315854,-0.17061919680988005,HML,
CNDP1,-0.30176592595313134,0.46820017766978816,-0.2364311702278412,0.004130157001148903,1.0,0.7046313478976294,-0.06533475572529016,HML,
COMP,0.23585624454744827,-0.21237084621825075,0.07335034691928678,0.6283587973966367,0.65,-0.2857211931375375,0.16250589762816148,LMH,
CP,0.6090414128884871,-0.7114850930519386,0.22249154433985244,0.00014689767327627425,1.0,-0.933976637391791,0.3865498685486347,LMH,Liver
CPB2,-0.44035187783662455,0.582094111607628,-0.2346918691749858,0.012090436162802311,1.0,0.8167859807826139,-0.20566000866163875,HML,Liver
CPN1,0.5253918018460505,-0.3129596913101752,-0.13621833843074269,0.02934593389359483,1.0,-0.17674135287943252,0.6616101402767932,LMH,Liver
CPN1,0.5253918018460505,-0.3129596913101752,-0.13621833843074269,0.02934593389359483,1.0,-0.17674135287943252,0.6616101402767932,LMH,Endocrine tissue
CPN2,0.029916995862544392,-0.05101599843166039,0.028456547504938364,0.9485347293458988,1.0,-0.07947254593659875,0.0014604483576060277,LMH,Liver
CPN2,0.029916995862544392,-0.05101599843166039,0.028456547504938364,0.9485347293458988,1.0,-0.07947254593659875,0.0014604483576060277,LMH,Endocrine tissue
CRTAC1,-0.26276411023732926,0.5541172419795212,-0.4284529911618214,0.004646549197130678,0.9,0.9825702331413426,0.16568888092449213,HLH,
CST3,0.4158018011110653,-0.43796621800310803,0.0997796913569469,0.04077873964291736,1.0,-0.537745909360055,0.3160221097541184,LMH,
ECM1,0.0077854328209728905,-0.027392422713071112,0.02280497675882186,0.949864050645809,1.0,-0.05019739947189297,-0.01501954393784897,LHL,
F10,-0.07041153377756096,0.5501637354097546,-0.5361681351946508,0.009272821074693995,1.0,1.0863318706044054,0.46575660141708985,HLH,Liver
F11,-0.25591942505097043,0.6892285500089858,-0.6012156157471571,0.0005141424073196201,1.0,1.290444165756143,0.34529619069618667,HLH,Liver
F12,0.047602761014747204,0.1075573854257954,-0.1606105668415487,0.693677313570164,1.0,0.26816795226734413,0.2082133278562959,HLH,Liver
