Exp,DNP_mean,DP_mean,DP_vs_DNP,ttest_statistics,ttest_pvalues,ttest_fdr,ranksums_statistics,ranksums_pvalues,ranksums_fdr,DNP_percentage,DP_percentage
ALT,22.045454545454547,25.066666666666666,1.1370446735395188,-0.49587156642269137,0.7302269773022698,0.8298033832980339,1.9024662915359687,0.05711022163593948,0.12237904636272745,0.3793103448275862,1.0
TP,76.14999999999999,72.29333333333334,0.9493543444955135,2.621420776742337,0.013898610138986101,0.0386072503860725,2.474752899558984,0.01333283870702748,0.03999851612108244,0.3793103448275862,1.0
ALB,45.04545454545455,36.93333333333333,0.8199125462495794,6.2029678603106975,9.999000099990002e-05,0.0007499250074992502,4.346284779850465,1.3846277866612809e-05,0.00020769416799919213,0.3793103448275862,1.0
G,31.0,35.266666666666666,1.1376344086021504,-2.9190237799950918,0.008099190080991902,0.02892567886068536,-2.6139577501591766,0.008950010334630002,0.030511398868056826,0.3793103448275862,1.0
TBIL,15.349999999999996,12.073333333333332,0.7865363735070577,1.4342734170972917,0.15908409159084091,0.26514015265140156,1.190974832912761,0.23366346495668922,0.37136711743793915,0.3793103448275862,1.0
DBIL,4.800000000000001,4.986666666666666,1.0388888888888888,-0.23747413032301673,0.8097190280971903,0.8801293783665112,0.13920485060019283,0.8892882756012108,0.9136523379464494,0.3793103448275862,1.0
IBIL,10.549999999999999,7.086666666666668,0.6717219589257506,2.09683111116587,0.0453954604539546,0.10013704511901751,1.8715318802914815,0.061271395298829454,0.1276487402058947,0.3793103448275862,1.0
TBA,3.649545454545454,8.034666666666668,2.201552704778512,-2.4710894356928144,0.011698830116988301,0.035096490350964904,-0.9589667485791062,0.33757549658370445,0.44811093105757543,0.3793103448275862,1.0
K,4.259090909090909,4.186666666666667,0.9829953753112773,0.6437944453111226,0.5546445355464453,0.6709409704190871,0.572286608023015,0.5671278209413946,0.6787949703456531,0.3793103448275862,1.0
Na,139.13636363636363,138.4,0.9947076118915388,0.8501536966620724,0.4072592740725927,0.5358674658849905,1.0363027766903246,0.30006091116512756,0.42461449693178427,0.3793103448275862,1.0
CL,103.68181818181819,102.86666666666666,0.9921379511909979,0.8508667712861646,0.42375762423757624,0.5404459554044595,1.14457321604603,0.25238599260369743,0.37857898890554614,0.3793103448275862,1.0
Ca,2.4404545454545454,2.3040000000000003,0.9440864220525239,3.2032826069370333,0.0027997200279972004,0.012351706005870003,2.985170685093024,0.002834201282718858,0.014171006413594289,0.3793103448275862,1.0
P,1.0309090909090908,1.1586666666666667,1.1239271017048797,-3.2794409827828175,0.0021997800219978004,0.010311468853114689,-2.7686298063816133,0.005629255647994065,0.02345523186664194,0.3793103448275862,1.0
Mg,0.8845454545454544,0.8286666666666667,0.936827680712573,2.6622944638147903,0.011398860113988602,0.035096490350964904,2.505687310803471,0.012221364639872867,0.03819176449960271,0.3793103448275862,1.0
E2,32.60699999999999,28.406666666666666,0.8711830792979014,0.8812472940369023,0.38686131386861317,0.5181178310740354,1.1288234690342083,0.2589723102119066,0.3808416326645685,0.3448275862068966,0.8
PRL,12.956999999999999,29.124999999999996,2.2478197113529363,-3.1753594943851313,0.0005999400059994001,0.003461192342304231,-3.1918456710622443,0.0014136684376685874,0.008835427735428671,0.3448275862068966,0.8
FSH,19.0985,31.980000000000008,1.6744770531717152,-1.9921529885369735,0.05319468053194681,0.1078270551323246,-1.323448205074589,0.1856863700505329,0.3165108580406811,0.3448275862068966,0.8
P4,0.18200000000000002,0.2483333333333333,1.364468864468864,-1.2397979854161836,0.22417758224177584,0.34312895241088137,-0.9341987329938275,0.35020138917929566,0.4528466239387444,0.3448275862068966,0.8
LH,11.338000000000001,24.81583333333333,2.1887311107191154,-2.6224798834826406,0.008899110088991101,0.030337875303378753,-2.2771094116724546,0.02277969280985591,0.05511216002384494,0.3448275862068966,0.8
T,4.861500000000001,1.3316666666666666,0.27392094346737966,3.7386576310106294,0.0016998300169983002,0.0084991500849915,3.2696955654783966,0.0010766328645878014,0.007340678622189555,0.3448275862068966,0.8
