Protein,Sample1,Sample1,Sample1,Sample1,Sample1,Sample2,Sample2,Sample2,Sample2,Sample2,Sample3,Sample3,Sample3,Sample3,Sample3,Sample4,Sample4,Sample4,Sample4,Sample4,Sample5,Sample5,Sample5,Sample5,Sample5,Sample6,Sample6,Sample6,Sample6,Sample6,Sample7,Sample7,Sample7,Sample7,Sample7,Sample8,Sample8,Sample8,Sample8,Sample8,Sample9,Sample9,Sample9,Sample9,Sample9,Sample10,Sample10,Sample10,Sample10,Sample10
Q96JJ7,,,,,,,,,,,,,,,,,,,,,,702354,,,,,,,,,,678472,,,,,,,,,,,,,,,,,,
Q96JM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875909,,,,,,,944936,,,,,,,,,,
Q96JN8,,,,,,,,,,,,,,,,,,,,,,556901,,,,,,,,,,,,,,,,,,,950189,,695141,1192600,,,883318,161592,544768,595044
Q96JP2,13898400,17050000,12540800,17235400,18020800,17614300,23246300,22100800,17299300,21640200,36269100,36577000,23621400,25937000,36694800,21557900,30504400,27440800,19616900,25160400,25184400,43605800,35838800,34835900,28837600,25244100,18622500,23255000,36497300,25313500,40232600,36525000,38353800,35828600,36503000,37189000,44897600,27046800,41234200,38763500,37304000,35911300,42772400,45718700,33265600,24853400,22433400,,20582900,15774300
Q96JP5,,,360254,,,,,,329024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96JQ0,91391300,,,100264000,,,,,101827000,,,,,74977700,,,,,,116753000,108983000,110833000,,,,111480000,,,,,,,,,,,,,,,,,,,111393000,107282000,117328000,,,
Q96JQ2,,60968.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51143.6
Q96JX3,,,,133859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44945.3,,,,,,,,,,,,,,,,
Q96JY6,,,,,,,,,,,,173448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570290,,,,
Q96K12,,,,,,,,,,599412,,,,,,,,,,,,,,,,,,,,,,597148,,,,,756912,,,,,,,,,,,,,
Q96K21,140661000,133924000,63120200,115638000,339140,117141000,112980000,116223000,,104314000,98874700,,91372300,94448500,112548000,,70040800,79151400,69870800,72167200,79707600,68017300,76825700,69423600,92135000,69893000,64984200,74561800,,,89978600,75622100,28905400,81833100,76968200,71105500,73867200,62531800,68644400,70977300,155998000,135325000,142066000,163670000,159400000,72140800,87721600,85257700,,67879800
Q96K76,,,,,,,,,,,,,,,,,,,461354,,558963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96KA5,,,46492600,,,,,,,,,,,,,,,,,,,,,,,106300000,,,96515400,,,,,,,,85340800,,,,,,,,,,,,,
Q96KG9,,,,,,,,,391476,,,,,,,,,,,,,,,,,,,,,,,,439096,,,,,,,,,,,,,,,,,
Q96KJ9,,,,,,,,,,,,,,,,,,,,,362554,,,72004.4,,,,669032,,537626,,,,,,,,551523,208496,444082,,,,203172,,,,,,
Q96KM6,,,,,,,,,,,,,425812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366313,,,,,,,
Q96KN2,,,,,,,,,,,37113.5,,,,,,,38525.2,39596.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96KP1,,,,,,,,,,,,,,,,,,,990543,,,,,,,,,,,,,,,,,7509940,,,,,,,,,,,,,,
Q96KP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200360,,,,,,,,,,,,1278080,,,,,,,,,
Q96KR1,,,,,,,,,,,,,,,,,,,575930,546107,,,413894,,,,,,,,,,,,,645439,,,,,,,,,,,,,,
Q96L34,,,,,,,,,,,,,,,,,,367127,,,,,,,,,,,235521,389946,346096,,,,295905,106593,,,,,243727,,,,,,,,,
Q96L46,,,6426030,,,,,,,,,5299140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96L58,,,,,,,,,,,,,,,,984415,,,,,,,,,,,,,,,,858772,,,,,,,,,,,,,,,,,,
Q96L91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601199,,,,,,,,,,,,698922,
Q96L92,,,,,,62207000,,,,,,,,,,,,,,,,,,61313500,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96LZ7,,486990,,703665,,,,,,,,,695389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96M27,,,,,,,,,,3437300,,,,,,,,,,,,,,,,,,,,,3188910,,,,,,,,,,,,,,,,,,,
Q96ME1,,,,,,477372,,,517402,,,,578594,,433741,,952351,,804098,,,811161,,,,875999,541876,,886415,,507990,,,,655040,,,697870,,,545267,373757,,,514993,441193,,,,412499
Q96ME7,,,,,,,,,,,,,,,,,,490816,,,,725769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96MG8,,35844200,,,37930300,33168300,,41286200,36370200,,38371400,33725500,,,34339600,,39182400,36488100,29673300,,43250400,38531300,,,36882300,,,31343500,,,,37946200,35407000,,41225600,,35543000,35658800,,35347700,21261400,,23600200,21190300,21084400,,26159300,28727100,,
Q96MH6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630160,,,2064960,
Q96MM6,,,,,,,,,,,,,4254550,,,,,,,,,,,,,,,,,,,,,,,4114890,,,,,,,,,,,,,,
Q96MX6,,,,,,,,,,,,,,,,,,39043.3,,,,,,,,,,,,,,,,,,,,,,,,,52354,,,,,,,
Q96MZ0,,,,,,,,,,,,,,,,,,,616651,,,,,,,,,,,,,,,,,,,,,572383,,,,,,,,,,
Q96N67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3723040,,,3279150,3388600,,2826650,5088810,,,,,,,3001390,,,,,,
Q96N76,,,,313812,,,,,,,,,,,,,313267,197527,322161,,,,41335.7,259011,,,,111013,,,,133175,,,,,,,,,240980,,,,,327621,,,,
Q96NB2,,,,,,,,,,,,,,,,,65056.1,,,,,,,,,,,,,,,,,,,169394,,,,,,,,,,,,,,
Q96NB3,,,,,,,,,,,478961,,,,,,,,,,,,,,,,,,,,473640,,,,,,,,,,,,,,,,,,,
Q96NT5,613009,,,,621543,,363635,,,,,,407048,,163222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96NY7,1216360,,,,,,,,,,,,,,,834113,,,1215510,,,,590245,953538,,,,1564440,1182620,,,,937911,1146810,,,1246520,,,,,984155,,,,,,,,
Q96NY8,,,,,484257,,,,,,,,,,,,,,,,,,,,,,,380862,,372406,,,,,,,,,,,,,,,,,,,,
Q96P16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1715000,,,,,,,,2117690,,,,1995300
Q96P31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401684,354783,,
Q96P44,,3487180,,,,,,,,,,,,,,753314,,715424,,,1458430,,,1335100,254033,,,,,,,,1234940,,,,1414570,1278710,,1410140,,,,1796190,1760760,2425540,,2205360,1977290,
Q96P47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242546,277854
Q96P48,,,,,,,,,,,,,850083,,,,,,,,,,,,1073390,,,,,,,,,,,,,,,,,,,,,,,,,
Q96P63,,128603,,,,,,,,,,131282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96P70,,305619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346760,,,,,,,,,,,
Q96PD5,2122568,2484016,2523040,2221323,2476231,2579421,2561002,2533000,2637716,2593843,2446512,2162375,2216529,2115939,2169725,2631441,2570604,2602650,2560926,2617454,2048861,2261480,1885376,2181069,2343619,2310785,1916163,2114525,2168388,2280279,2133795,2290630,2013190,2117829,2450660,1965060,2369660,2106550,1918218,2044200,2325660,1900395,2081367,1971565,2461670,2183033,1935376,1888060,2387080,2024623
Q96PE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246585,,249152,306749,,,
Q96PE3,,,,,,,,,,,,,120755,,,,,,336161,,,,,153296,284364,,224995,155619,,,,,,,,,,,,,,,,,,,,,,
Q96PK6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143396,79917.2,,134906,,,,,,,,,,,,,,,,
Q96PL5,,,57304.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53420.9,,,,,,,,,,,,,
Q96PP8,,,243732,,,,302579,,,,,,,296889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96PP9,,,,,,,,98693,,,,,,,,,,,,,,,,,95073,,,,,,,,,,,,,,,,,,,,,,,,,
Q96PQ0,,,,,,,,,,,,,,278090,,,,,,,,,,118494,,,,,,,,,282939,,,,,,,,,,217662,,,,,,,
Q96PU5,,,,,,,,,,,,,,,,,,,,,,,1902220,,,,,,2233420,,,,,,,,,,,,2515770,2605560,,,,,,,,
Q96PU8,,,,,,,,,,,,,,,,,,,,,,171390,,,,,,,,,,,,,,,,,,,,,163466,,,,,,,
Q96PV0,,,,,,,,,,,,,,,,,,,,,,524762,,,,,,,,,,,,364503,114961,,,,,,,,,,,,,,,
Q96PX8,,,,,,,,,,,,,,,,,,,,,,,,,,,153256,,,,,,,,,,237939,,,,,,,,,,,,,
Q96PY5,,,,,,,,,,,,,,,,,,,,,,,,,,,272621,,,,,,,,,,,,,,,,,,,275198,,,,
Q96PZ0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524918,,,,953545,,,,980404,,,,,,,,,,
Q96Q05,,,,,,,,,,,,169163,229297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96Q06,,,,,,,,,,,,,,,,,,,,,589799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370071
Q96Q11,,,,,,96901.1,,,,,,,,,,,,,,,,,,,95262,,,,,,,,,,,,,,,,,,,,,,,,,
Q96Q15,,,,,,,,,,,,,,,,,,,,,,,2578160,,,,,,,,,,,,,,,,,,,2247390,,,1806800,,,,,
Q96Q80,161093,,,,,81483.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96Q83,,1199160,,,,,,,,,,,,,1021780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96QA5,,,,,,,,,,,,,,,,,,,,,,,,,705478,,,,,,,,,,643956,,,,,,,,,,,,,,,
Q96QC0,,,,,,,,,,,83949600,93830600,,,,,,,,,,,,,91818200,,,,,,,,,,,,,,,,,,,,,,,,,
Q96QD8,,,,,,,,,,,,,,,,,,,,,,,,,,,,104166,,,,,,,,,,,,,85867.3,,,,,,,,,
Q96QD9,,,,,,,,,,,,,,,,,,,,,,,,,79600.3,,,,,,,,,185759,,,,,,,,,,,,,,,,
Q96QE5,,,,,,668206,,,,,3109130,,4776080,,,,6871200,,,,,,7207650,,3707380,,,,,4707710,,,,,,,,,6351280,,4673910,,,,,,,,,1530740
Q96QG7,,53576.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62496.7,,,,,,,,,,,,,,,,,,
Q96QH2,,,,,,,,,,,,,,,,,,279921,,,755615,,,,,,,1059600,,,,604628,,483316,,,,,,,,,,,,,,,,
Q96QK1,,,,,,,,,,,,,,,,,,,,,,176493,,,,169029,,,,,,,,,,,,,,,,,,,,,,,,
Q96QR8,,,,,,,,,,,,155788,,,,,,,,,,,,,,,,,,,116622,,,,,,,,,,,,,,,,,,,
Q96QZ7,,,,,,,,,,,,,,,,,,,,,,2178670,,,,,,,,2164430,,,,2275090,,,,,,,,,,,,,,,,
Q96R06,6018320,,,,,,,,,,,,,,,,,,,,,,,15006600,,,,,,,12892600,,,,,,,,,,,,,,,,,,,
Q96RD9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5614100,,,,,,,,,,,,5704780,,,,,,
Q96RF0,,,,,,,,816234,878084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96RG2,,,,,,,,,,,635312,,570948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188757,,,,,,,
Q96RK0,,,,,,,,,,,,,,,,,,,387295,,,,,,,,,,,,,,,,,,733449,,,,,,,,,,,,,
Q96RK4,,,,171156,,,,,159752,,,,,198925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96RL7,,,,,,,,,,,422397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474190,
Q96RP9,,,,,7968080,6370380,6710270,6073030,,,8522940,8014640,6674770,8243750,,,,6018690,,5221990,,,,,,,,8089650,8100060,7314820,,,5502140,,,4436130,,,,,,,,5476880,,,,6772840,6659680,
Q96RQ1,,,,,,118751,,,,,,,,,,,,,,,,,,,,,,,73013.3,,,,,,,,,,,,,,,,,,,,,
Q96RQ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062350,,,,,,,1069670,,,,,,,,,,
Q96RQ9,,,,,,,,,,,,,,,,,,,,,,704370,,,,2434390,,,,,,,,2644070,,,,3978480,,,,,,,,,,,,
Q96RR4,,,,,,,,,,,,,,,,,,,186246,,,,,,,,,,,,,,,,,,,,,,207467,,,,,,,,,
Q96RS6,,,,,,,,,,,,,615042,467313,,690052,,,,,,649328,,,,,,,,,,,,,,,,,,,,,,,,,,,513623,
Q96RT1,,,,,,,,,,,,,,,,,,,4398770,,,,,,,,,,,,,,,,,,,,,,,4421210,,,,,,,,
Q96RU3,,,,,,,,,8691000,7084550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96RW7,,,,1099120,,1505040,,,,,1824320,,2881050,,,,2252970,,3006050,2658420,2529900,,,,,,,2598270,2604070,,,,3320820,2192190,2526260,,,,2975280,,,,,2563400,2211300,,,,1877710,
Q96RY7,,,,,,,,,,,,,,,,,,,,,,480006,,,,,,707948,,,,,,,,,,,,,,,,,,,,,,
Q96S19,,,,,,,,,,,,,759786,,,,1573140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96S44,,,,,225634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458370,,,,,,,,
Q96S52,,,,,,,,,,,,,,,,,,,,,5014760,,,5887770,,,,,,,,,,,,,5705920,,,,,,,,,,,,,
Q96S55,,,,269902,283880,,,,,301669,,,,324414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96S59,,,,,,,,,,,,,,,,,,,,110715000,81061900,,,,,,82254800,,,96744000,,,,,,,,,,,95289000,,,,,,,,,
Q96S66,,,,,,,,,,,,,,,,,,,,129082,,85017.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96S82,,,,,,,,,,,,,,,,,,,,3230200,,,,,,,,,,,,,,,,,,,,,,,,,,,,3153000,,
Q96S86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353473,,1009682,,,,,,,,,,,,,,,,
Q96S96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282348.8,,,,300214.9,,,,
Q96S97,,,,,,,,,,,,,176250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85672.9,
Q96SB3,,,,,,,,,,,,,,,,,,,,,,,,5273980,,5085650,,,,,,,,,,,,,,,,,,,,,,,,
Q96SI1,,,,,,,,,,,,,,,963989,,,,,,,,,,,,,,,,,,,,,,,,,,,537717,626874,,,,,,1021690,823687
Q96SK2,,,,,1505060,,,,,,,,,,,,4343290,,,,,,,5398110,,,2925000,3654360,,,4016200,,6328670,,,,,,,,,,,3924400,,,,,,
Q96SM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1194770,,,,,,,,,,,,,,,,,,,,1225520,,
Q96SN8,,,,1306580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3411030,,,3028020,,,,,,,,,,,,1320990,,
Q96SQ9,,,,,,,,,,,,,,,,,55447.9,59955.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96ST3,,,3205740,,3232600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96SU4,,,,,,,,5000240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4436520,,
Q96SW2,,406498,,,,,,,,,,,,917771,,,,,501234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96T17,,,,,,,,,,,,,,,243155,,,,,,,,,,78378.1,,,,,,,,,,,,,,,,,,,,,,,,,
Q96T23,,,,,,6402190,,6734010,4814720,6042930,,5774570,,,,,,5515350,,,,,,6680140,,4955860,,,,,,,,,,,,,,,,,,,,,,,,
Q96T37,,,,,,,,,,,,538940,,,,,,,,,,,,,,,,,,299438,,,,,,,,,,,,,,,,,,,,
Q96T51,,,,,,,,,,,,,,,,,,,,,,1058470,,,,,,,,,,,1203780,,1318000,,,,,,,,,,,,,246860,,
Q96T58,,,,,3697270,,,,,,,,,,,,,,,1030100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96T60,,,,,,,,,980049,,,,,,,,890981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96T66,,,,,,,,,,,762028,,,,681889,,743141,,539888,,,,,,,,734118,617786,,,,,,,,,,,,407205,,,,,,,,,,
Q96T76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370700,,322329,,,,,,
Q96TA1,,,,,,,,,392051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390690,,,,,,,,,,
Q96TA2,,,,,,,,,,,,,,,,,,,,,,,,,,,186951,196926,,,,,,,,,,,,,,,,,,,,,,
Q96TC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995086,969188
Q99081,,,,,,,,,,,,,,,,,,,,,13759200,,,0,,,,,,,,,12893.8,,,,17436800,7996740,,,,,,,,,,,,
Q99259,,,,,,,,332844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7095044,,,,,,,,,
Q99418,,,,,,,,,,1130950,,,,,,,,,,,,,,,,,,,,,,1221380,,,,,,,,,,,,,,,,,,
Q99424,,,,,,,,,,,,,,,,,201900,,,,,,,,,,,,,,,299639,,,,,,,,,,,,,,,,,,
Q99426,,,,,,,,,,,,,,,,,,2525360,,,,,,,,,,,,,,,,,,,,,,,,,,2499200,,,,,,
Q99435,,,,,165406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154625,,,,,,,,,
Q99436,,,,,,,,,,,,,,,,,,,,,,2666520,,2362400,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99439,7551910,,,,6820490,5923750,5976850,,,,,,,6991240,6349480,5202800,5740410,,,,7490670,5905600,8407490,8774530,,,,5095780,6337740,,,,6005410,6014770,5271860,7293620,5773090,,5202550,7137140,,6792420,7932860,8237480,,,8883980,,9097510,9023710
Q99447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2205300,,,,,2278520,
Q99453,,,,,,,,,,,,,,,,,,,,,,,,355191,,,,,,,,,,,,,,44047.3,,,,,,,,,,,,
Q99459,18052000,17989900,16705000,16827300,17139800,16706100,16741200,18284700,16801300,16338100,12773800,14229500,15682900,13140700,14581100,15046200,16357600,11243300,18164600,17117000,17907700,14049400,15058900,19361300,17844200,15164100,17790800,17316700,19095600,17491400,17011000,19048200,16002000,14975000,19109900,18747900,16163500,16174200,14269400,17042400,8851050,9295540,9423580,9636600,8857190,6038230,5904530,6380340,7013080,6801190
Q99460,419453,,,,397504,,,,,,,,,,,,,387762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99471,,,,,,,,,,,3004848,,,,2917640,,,,,,2289850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99487,,37706.9,,,,,,,,,,,,,,26099.8,,,,,,,,,,,,,,,,46311.4,,,,,,,,,,,,,,,,,,
Q99490,,1117210,,,,,,,,,871237,,,,,,,,,907393,1080960,,,1043930,,,,,,,1192240,,1282590,1164200,866475,,,,,,917101,,,,,,,,,
Q99496,,,,,,,,,,,,,,,,,,,,,,,,1249220,,,,,,,,,,,,,,,,,,,1383990,1346480,,,,,,
Q99497,,,,,,,,,,,,,,,,,,8115520,,,,,,,,,,,7801540,,,,,,,,,,,,,,,,,,,,,
Q99519,,,,,,,,69880,,,,,,,,,,,,227739,152281,,,,336874,157304,,288987,,338606,,,,,,,,,,,,,,,,,,,,
Q99523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650664,,,,689170,,,,,,,,,,,,,,,,
Q99536,,,398642,,,,,,,,,,,,,,,,,,,,,,,,,378290,,,,,,,,,,,,,,,,,,,,,,
Q99538,,,,,,,,,,,351625,,,,,,,,,,358593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99541,,,,,,,,,,,,,,,,690897,,,,,,,,,,,,,698846,,,,,,,,,,,,,,,,,,,,,
Q99542,4501190,4329020,,4703120,,,,,,,,,,,,,,,,11909200,,,,,,,,10354100,,5937520,,,,,7797150,,,,,,,,10073100,,10436600,,,2974480,,
Q99543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34683.2,,25362.8,,,,,,,
Q99547,2031920,,1978710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99549,2624360,,,2318430,2610280,2907610,2677080,,,2463540,,,,,,,,,,2809500,,,,,,3484370,,,,3299590,,,3916460,,,3199840,2947710,,,,,,,,,,1257310,1038350,1315000,
Q99567,,,,,,,,,,,,,,,,,,,,77677.4,,,,,,,,,,,,,,,,,,38345.7,,,,,,,,,,,,
Q99569,,,,,855914000,,768126000,,751193000,,649089000,,595674000,653313000,608520000,822765000,,,973288000,,,776375000,813135000,860024000,523925000,,876771000,,904093000,,893161000,,888277000,,,,,,825474000,,,,,722249000,704193000,532618000,554301000,504993000,450358000,512333000
Q99570,,,,,,,4740330,,,,,,2855830,,,5130260,5363710,4547940,,5438640,4310400,,6052980,4729490,5193410,5225360,4497680,4711190,5468530,5011330,,5846990,6182700,,,6121440,,,5614490,,,,,5025100,4849220,,1278390,2187200,,
Q99574,,,,941531,,,,,,,,,923063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000.2,43028,,,,,,
Q99584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571597,,,,,,,,,,,,,,,130951,,,
Q99590,,,,,239684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185921,,,
Q99598,,688803,,696942,,,,,,,724687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99611,1747100,,1234410,,,,2445140,,,,,,2253040,,,2611620,,,,2139500,,5025660,,,,,,,3385200,,5645560,6060990,6515370,5772480,,,5521710,4629970,,5902690,3315610,3336520,3823180,3549290,,,,,,
Q99614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2926160,,,,2386340,,,,,,,,,,,,,,,,
Q99622,,,,,,,,,,,,,,,680265,,,,,,,,,,,,,,,,,,,,,706685,,,,,,,,,,,,,,
Q99623,,,2072950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3375960,,
Q99627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027650,,1047770,,,,,,1008560,,,,,,,
Q99650,,,,,,3800070,,,,,,4116210,,3213250,,,,,,,,,,,,,3491150,,3248690,2846270,,,,,,,,,,3713160,4262080,,,,,,,,2387260,
Q99661,,,,,,,,,,309282,309910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99674,,,,,,,,,,,,,,,,,,46264.7,,,92033.8,,75957.3,,92937,,,,,,,96143.9,124517,86566.2,,,96202.7,76453.4,103081,75302.3,,,,,,,,,,
Q99683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505275,,,,,,,,330971,,,,,
Q99685,,,,,,,,,,,,,,,,179148,,,,176163,,,,,177766,,,,,,,,,,,,,,,,,,,,,,,,,
Q99698,,,,,,,,,,,,,3605120,,,,,,,,,,,,,,,,,,,52383.8,,,,5454620,,4181780,1108270,,,,,,,,,,,
Q99700,2445400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15391000,,,,,,,,,1356250
Q99707,,,,,,,958834,,1350160,,1128720,,,,,,,,,,,,,,,,,,,,,,,,434783,,,,,,,,,,,,,,,
Q99714,,,,,,,,,,,,,,,,,,,995119,,,,,,,,,,,,,,,,,896770,,,,,,,,,,,,,,
Q99715,,,,,191058,,,,,,,190164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99719,,,,,,,,,,,,,,3521280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3738770,,,,,
Q99729,,,,,,,,,676057,,,,,,,,,,685207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328613,,,328034
Q99735,,,,,,,,,,,,353380,,,,,,,,,,,,,,,436517,,,,,,,,,,,,,,,,,,,,,,,
Q99747,,,,,,,,,,,7754530,,8403040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214564,,,201448,
Q99759,,,,,,,,,,,,,,,,,,,,340677,,,,,,,,,,,,,,,1429010,,,,,,,,,,,,,,,
Q99784,,1915665,1563432.1,,,1431970,1648570,1282570,,,,1035243.9,1251040,1734855,,,1280160,608700,,1540295,1679589,1338762,1495209,772361,,,1015850,,1965124,940450.5,,,1773383,,958723,1376315,1541151,1223885,1541131,1201144,762301,,628950.5,934765.4,,1348523,312321.4,,520762.8,1488822
Q99797,,,,,546934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501842,,,,
Q99798,,,,,,,,,,,,,,536076,,539403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99805,,,,,,,,,,,997012,,,,,,,,,,,,,,,,,,,,,,,,,,,790145,,,,,,,,389962,,,,
Q99807,,,,,,,,,,,,,,,,,,,2702300,,,,,,,,,,,,,,3104040,,,,,,,,,,,,,,,,,
Q99808,,,,,,,,,,,,,,,,,,,,,,,,,97330.5,,,,,,,,,,,,,,,,,,,,,,,,,86693.6
Q99816,,,,,,,,,,,,,,,,9332700,,,,,,,,,,,,,,,,,,,6512030,,,,,,,5469320,,,,,,,,
Q99829,,,,,,,,,,,,,,,,,,,,,,,,,209150,,,,,,,,,,,,,,,,,,159565,,,,,,,
Q99832,,,,163564,185406,,,,115954,,195965,,151077,,146212,297403,226556,,,,230301,224449,191635,,266080,,,,,,142792,,,96421,,,,127787,,123973,,,,,174737,140386,,131035,201137,144262
Q99836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572872,,,,,,,,,,,,,793690,,,
Q99848,,,,2317360,1298780,,,,,,,,,,,,,,,1934640,,,714011,,,,,,,,1967120,,1458830,,1300830,1312130,,,,,,,,,,,,,,
Q99856,,,750665,,,,,,,,1775050,,,,1110150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2662320,,,2171740,,,
Q99873,,,2473810,,4302760,3402980,,,,,4119350,3522260,2743590,2871130,,,,2087210,,,,,,,,2731010,,2906400,,,2606520,,,,,,,2051500,,,,2239540,,,1995560,2091920,1678730,2787440,2856930,2393600
Q99895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616246,,,,,,,,,,,,,,,,326808,,,
