Protein,Sample1,Sample1,Sample1,Sample1,Sample1,Sample2,Sample2,Sample2,Sample2,Sample2,Sample3,Sample3,Sample3,Sample3,Sample3,Sample4,Sample4,Sample4,Sample4,Sample4,Sample5,Sample5,Sample5,Sample5,Sample5,Sample6,Sample6,Sample6,Sample6,Sample6,Sample7,Sample7,Sample7,Sample7,Sample7,Sample8,Sample8,Sample8,Sample8,Sample8,Sample9,Sample9,Sample9,Sample9,Sample9,Sample10,Sample10,Sample10,Sample10,Sample10
A0MZ66,,,,,,,,,,536801,,,,,,,,,,,,,,,,,,,,,,,,,,584059,,,,,,,,,,,,,,
A0PK00,,,,,,,,,,,,,,,,,,,495577,840399,,,,,,,,,551481,,552823,,,,,1096070,,,,,,,,,,,,,,
A1A4S6,,,,,,,,,,,,,,,,,,,,,,1626970,,,,,,,,,,,,,,,,,,,,329963,,,,,,,515195,
A1A5D9,,,,,,,,,,1407450,,,,,,,,,,1477720,,,,,,,,,,,,,,,,,,1680080,,,,,,,,,,,,
A1IGU5,,,,,,,848365,924354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776895,,,,,,,,,,
A1L020,,,,,,,,,,,,,1521010,,,,,,,,,,,,,,,,2259850,,,,,,,,,,,,,,,,,,,,,
A1L0T0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1555420,,,,,,,,,,,,,,,,1501960,,
A1L390,,,,,,,,,,,,,,,,,320760,,,,,,,,,,,,329486,,,,,,,,,,,,,,,,,,,,,
A1X283,,,,,,,,,,,,,198491,,,,,,,,,,,,,,,,321700,,,,,,,,,,,,,,,,,,,,,
A2A3N6,,,,,,,,,,,,,,,,,,,,,,,1553020,,,,,,,,,,,,1289860,,1184700,,,,,,,,,,,,,
A2NJV5,,192363.3,,196467.6,,,,106303,,131793,541516,191688,0,,0,,87502.6,590368.1,,,,396393.6,,,,,235870,,,,,,,274697.3,,,165313.4,,,295850,,,,,,,,,,
A2RRD8,,,,,,702342,,,,,,,,,,,,,,,348336,,,,,,,822674,,,,,,,,,,,,,,,,,,,,366210,,
A2RRP1,,,,,,,,,,,17063800,,,,,,,,,,,17897500,,,,,,,,18581700,,,,,,,,,,,,,,,,,,,,
A2RTX5,,8165430,,,,,,,,,,5746550,,9506400,,,,,,,,,,,,,,,,,13318100,,,,8511430,,,,,,8941650,,,,,7630560,7407910,,,6437430
A2RUS2,,,,,,,,17421.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2VDF0,,,519671,,,959762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3KMH1,,,,,,,,,,,,,,,,32980100,31991200,,,,,,,,,,,,,,,,,,,,,35232700,,,,,,,,,,,,
A3KN83,,,,,,,,,,,,,,610121,,,,,,,,,,,,,,,,713961,,,,,,,,,,,,,,,,,,,,
A4D1P6,,,,,,,,,,,,,,,,,,,,3819190,,,,,,,,,4992710,,,,4307810,4823190,4025330,,,,,,,,,,,,,,,
A4D1U4,,,,,,,,,201859,,252909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4QPH2,,,,,,,,,122058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85289.9,,,,,,,
A5A3E0,,,,,,,,,,,,,,,,,,1150110,,,,,,,,,,,,,,,,,,1126705,,,,,,,,,,,,,,
A5D8T8,163582,,,,,,,,,54462.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5D8V6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001060,,,,,,,,,,,,,910777,,,,,,
A5YKK6,,,,,,,,,,,,,,,,,,,,,,,,,,1045110,,,,,,1154600,,,,,,,,,,,,1011250,,,,,,
A5YM72,,,,,,589644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556230,,,,,,,,,,,,
A6NC98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22546000,,,20878100,,,,,,20093700,,,,,
A6NCE7,,,,,,,,,,,,,,,,,,125504,,,,,,109391,,,,,120316,,,,,,,,,,,,,,,,,,,,,
A6NCN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534227,,498020,,,,555504,511955,
A6NDB9,,,,,,,181169,,,,,,,,,,,,,,,,,,,,152232,,,,,,,,,,,,,,,,,,,,,39241.3,,
A6NDG6,,,,,,,,,,,,,,,,,207409,,,,,,,143051,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NEC2,,,,,,,72539.1,,,,,,,,,,,,74724.8,,,84622.2,,,,,,106646,,,,,,,,,125861,,,,,,,,,,,,,133066
A6NED2,2738800,2794680,2467560,,,1908060,1631290,,,,1919780,,,,,,,,,,,5395970,,,,,3986880,4823690,4700000,,,4959130,,,,,,3865830,,2727000,,,2658890,,,,,,,
A6NFQ2,,,,,,559366,326654,,,283979,,,,,,,308337,,83315.9,,420693,354908,,,,,387176,,349654,,,294479,287132,,,,,,,,,,,,,,,,,
A6NGN9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618170,,1511930,,,,
A6NGU5,,,,9017950,,,,,6745640,7044850,,,5990690,,6255260,9163440,9256080,,9229460,8910420,,,,,,,,,,,,,5287580,,6172680,,,,,,6460350,,,6625640,4881310,,,,6194700,
A6NHL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145029,,,72234.8,,159660,492509,
A6NHQ2,4917290,,,4912220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NHR9,,,,,,,,,,,,,,,,,4615820,,,,,,,5087100,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NHX0,,,,,,,,,,,,,,,,,,,,,,473280,,,,,,,,1002630,,,,,,,,,,,793086,,,,,,,,,
A6NI72,,,,,,,,,,,,,,,,,,,797617,,,,,,,,,,,,,,,755525,,,,,,,,,,,,,,,,
A6NIZ1,,,,,,,,,,,,,,,,,,,,,,,84940.7,,,,,,,,,74235,,,,,,,,,,,,,,,,,,
A6NK44,,,,,,,,,,,,,,,,1053020,,,,,,,,,,,607685,,,,,,,,,,,272791,1115420,1296460,,,,,,,,,,
